Object,Sphere,X,Y,Z,Radius
1,1,-0.4999375078115236,0.0,0.0,0.5
1,2,0.4999375078115236,0.0,0.0,0.49987501562304715
1,3,0.0,-0.32295963004624423,-0.32295963004624423,0.17704036995375577
1,4,0.0,-0.3228346456692913,0.3229596300462442,0.17704036995375583
1,5,0.0,0.3229596300462442,-0.3228346456692913,0.17704036995375583
1,6,0.0,0.3228346456692913,0.3229596300462442,0.17704036995375583
1,7,-0.8658917635295589,-0.36607924009498816,-0.36607924009498816,0.13392075990501187
1,8,-0.8703912010998625,-0.370453693288339,0.3490813648293962,0.12954630671166104
1,9,-0.8703912010998625,0.3490813648293962,-0.370453693288339,0.12954630671166104
1,10,-0.8666416697912761,0.365079365079365,0.365079365079365,0.13327547562397923
1,11,0.857142857142857,-0.36832895888014,-0.36832895888014,0.13167104111986
1,12,0.857142857142857,-0.36832895888014,0.36832895888014006,0.13167104111985994
1,13,0.857142857142857,0.36832895888014006,-0.36832895888014,0.13167104111985994
1,14,0.857142857142857,0.36832895888014006,0.36832895888014006,0.13167104111985994
2,1,-0.4998639436063903,-1.0002668564674746,-0.0031927138585664617,0.5
2,2,0.5000089735138225,-1.0005024714641988,-0.0011577784103713091,0.49987501562304715
2,3,-0.0005098332882927479,-0.6779399322914977,0.3212979384808906,0.17704036995375577
2,4,0.0008049468012201581,-0.6770359572704086,-0.32461936300746524,0.17704036995375583
2,5,-0.0006596915268212548,-1.3238581557741418,0.3201436876175463,0.17704036995375583
2,6,0.0006548922422907309,-1.3227044114252793,-0.32564823158827577,0.17704036995375583
2,7,-0.866477531117916,-0.6346850257617468,0.3627238611212594,0.13392075990501187
2,8,-0.8695201883820574,-0.6291702562181831,-0.3524365412841419,0.12954630671166104
2,9,-0.8711520681681101,-1.349850611702215,0.3659495400876776,0.12954630671166104
2,10,-0.8659090390504343,-1.3646777593813362,-0.3695989228202079,0.13327547562397923
2,11,0.8565494167040896,-0.6328449172730645,0.36848385981002285,0.13167104111986
2,12,0.8580489300647799,-0.6316714099710329,-0.36817159706191577,0.13167104111985994
2,13,0.8563782162452568,-1.369501879872524,0.3673100016189085,0.13167104111985994
2,14,0.8578777296059471,-1.3683283725704924,-0.36934545525303014,0.13167104111985994

Object,Port,X,Y,Z,Port ID
1,1,-1.05,0.0,0.0,1
1,2,1.0499999999999998,0.0,0.0,2
2,1,-1.0499252813428792,-1.000137237294808,-0.004312195440351371,1
2,2,1.0500703112503114,-1.0006320906368653,-3.8296828586400176e-05,2

Connection,Point Type,X,Y,Z
1,Start,-1.05,0.0,0.0
1,Control 1,-1.0462278358212558,-0.25045602744788964,-0.0011667982375091947
1,Control 2,-1.0251849323010407,-0.5000624667374599,-0.002324956965211157
1,Control 3,-1.0460958311960906,-0.7496773957574814,-0.0034385602725564477
1,End,-1.0499252813428792,-1.000137237294808,-0.004312195440351371
2,Start,1.0499999999999998,0.0,0.0
2,Control 1,1.0434577285064757,-0.25066048407897035,9.495272430243902e-05
2,Control 2,1.0225015465584264,-0.5003208572997003,0.00014700494165562284
2,Control 3,1.043586759212355,-0.7499730696918239,0.00015478483993063317
2,End,1.0500703112503114,-1.0006320906368653,-3.8296828586400176e-05

Bounding Box
Min X,-1.06189
Max X,1.06003
Min Y,-1.49466
Max Y,0.494286
Min Z,-0.494964
Max Z,0.492818
